Date,Time,Time Zone,Category,Item,Quantity,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option
9/28/2015,16:00:42,Eastern Time (US & Canada),Baltimore Print Studios,Whiskey Please by Baltimore Print Studios,1,Regular,,,$35.00 ,$0.00 ,$35.00 ,$2.10 ,jY300rztkR1V01wcuPRAmuMF,jY300rztkR1V01wcuPRAmuMF,Sarah,,https://squareup.com/dashboard/sales/transactions/jY300rztkR1V01wcuPRAmuMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,19:23:31,Eastern Time (US & Canada),Gilah Press + Design,Tea Towel by Gilah Press,1,Regular,,,$16.00 ,$0.00 ,$16.00 ,$0.96 ,z6GJr0adrVkBZiGFHXJyazMF,z6GJr0adrVkBZiGFHXJyazMF,Sarah,"Tea Towels - 12 ea of 8 designs
$12.00 (20 x 28)",https://squareup.com/dashboard/sales/transactions/z6GJr0adrVkBZiGFHXJyazMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,18:24:06,Eastern Time (US & Canada),Gilah Press + Design, Boxed Notes (set of 8 with card & envelope) by Gilah Press,1,Regular,,,$26.00 ,$0.00 ,$26.00 ,$1.56 ,vUbsKB36UlhXmRjMwwbZwwMF,vUbsKB36UlhXmRjMwwbZwwMF,Sarah,"Boxed Notes - 2 ea of 5 designs
$26.00 (6 x 4 x 1.5)",https://squareup.com/dashboard/sales/transactions/vUbsKB36UlhXmRjMwwbZwwMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,18:16:39,Eastern Time (US & Canada),Priya Means Love,Face Essentials Kit by Priya Means Love,1,Regular,,,$28.50 ,$0.00 ,$28.50 ,$1.71 ,XCqfudAfjTnfjPohacUCHzqeV,AMslmv9kJ452CRWCjjn45zMF,Sarah,,https://squareup.com/dashboard/sales/transactions/XCqfudAfjTnfjPohacUCHzqeV/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,18:16:39,Eastern Time (US & Canada),Zimmerman Woodworks,Incense Burners by Zimmerman Woodworks,1,Regular,,,$24.00 ,$0.00 ,$24.00 ,$1.44 ,XCqfudAfjTnfjPohacUCHzqeV,AMslmv9kJ452CRWCjjn45zMF,Sarah,,https://squareup.com/dashboard/sales/transactions/XCqfudAfjTnfjPohacUCHzqeV/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,18:02:23,Eastern Time (US & Canada),Damn Good Doormats,Doormat,1,Hello,,,$45.00 ,$0.00 ,$45.00 ,$2.70 ,96KOfEr2z7hSuCdmO64MVsMF,96KOfEr2z7hSuCdmO64MVsMF,Sarah,,https://squareup.com/dashboard/sales/transactions/96KOfEr2z7hSuCdmO64MVsMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:53:11,Eastern Time (US & Canada),Priya Means Love,Balsam Fir Deodorant by Priya Means Love,1,Regular,,,$14.00 ,$0.00 ,$14.00 ,$0.84 ,fwJelaWpgWwNSuFdo2Z4Tx8eV,bqTZW3wWJvhGZ5dnPQcR2tMF,Sarah,Balsam Fir Deodorant,https://squareup.com/dashboard/sales/transactions/fwJelaWpgWwNSuFdo2Z4Tx8eV/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:53:11,Eastern Time (US & Canada),Zimmerman Woodworks,Incense Burners by Zimmerman Woodworks,1,Regular,,,$24.00 ,$0.00 ,$24.00 ,$1.44 ,fwJelaWpgWwNSuFdo2Z4Tx8eV,bqTZW3wWJvhGZ5dnPQcR2tMF,Sarah,,https://squareup.com/dashboard/sales/transactions/fwJelaWpgWwNSuFdo2Z4Tx8eV/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:53:11,Eastern Time (US & Canada),Zimmerman Woodworks,Lamp by Zimmerman Woodworks,1,Maple Desk Lamp,,,$55.00 ,$0.00 ,$55.00 ,$3.30 ,fwJelaWpgWwNSuFdo2Z4Tx8eV,bqTZW3wWJvhGZ5dnPQcR2tMF,Sarah,,https://squareup.com/dashboard/sales/transactions/fwJelaWpgWwNSuFdo2Z4Tx8eV/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:35:44,Eastern Time (US & Canada),Living Classroom,Cutting Board by Living Classroom,1,Red with Ebony Wood Cutting Board,,,$50.00 ,$0.00 ,$50.00 ,$3.00 ,f0G4cc9hwdaIICxGByr7nwMF,f0G4cc9hwdaIICxGByr7nwMF,Sarah,,https://squareup.com/dashboard/sales/transactions/f0G4cc9hwdaIICxGByr7nwMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:35:44,Eastern Time (US & Canada),Gilah Press + Design,Tea Towel by Gilah Press,1,Regular,,,$16.00 ,$0.00 ,$16.00 ,$0.96 ,f0G4cc9hwdaIICxGByr7nwMF,f0G4cc9hwdaIICxGByr7nwMF,Sarah,"Tea Towels - 12 ea of 8 designs
$12.00 (20 x 28)",https://squareup.com/dashboard/sales/transactions/f0G4cc9hwdaIICxGByr7nwMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,17:26:42,Eastern Time (US & Canada),Write Pads,Left-handed Notebook (Plain) by Write Note Pads,1,Regular,,,$16.00 ,$0.00 ,$16.00 ,$0.96 ,WOq0PgR1HThGiVdZLDPPlxMF,WOq0PgR1HThGiVdZLDPPlxMF,Sarah,"Left-handed Notebook (Plain) (5) $16.00 - 5.5"" x 8.5"" 120 pages of plain paper. ",https://squareup.com/dashboard/sales/transactions/WOq0PgR1HThGiVdZLDPPlxMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,16:20:37,Eastern Time (US & Canada),Leroux Tools,6 Series Serving Board by Leroux ,1,6 Long,,,$100.00 ,$0.00 ,$100.00 ,$6.00 ,mGhSoJtgFuSGz9wYBwH1iyMF,mGhSoJtgFuSGz9wYBwH1iyMF,Sarah,,https://squareup.com/dashboard/sales/transactions/mGhSoJtgFuSGz9wYBwH1iyMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:50:53,Eastern Time (US & Canada),Priya Means Love,Herbal Lip Therapy by Priya Means Love,1,"Tube, Tinted",,,$8.00 ,$0.00 ,$8.00 ,$0.48 ,1PlhpWN8UpqPFrD5If971zMF,1PlhpWN8UpqPFrD5If971zMF,Sarah,Herbal Lip Therapy,https://squareup.com/dashboard/sales/transactions/1PlhpWN8UpqPFrD5If971zMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:50:53,Eastern Time (US & Canada),Bower Box,Woodcut individual card by Bower Box,1,Regular,,,$5.00 ,$0.00 ,$5.00 ,$0.30 ,1PlhpWN8UpqPFrD5If971zMF,1PlhpWN8UpqPFrD5If971zMF,Sarah,,https://squareup.com/dashboard/sales/transactions/1PlhpWN8UpqPFrD5If971zMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:48:34,Eastern Time (US & Canada),This Sporting Life,Mobtown Mad O's hat by This Sporting Life,1,Regular,,,$45.00 ,$0.00 ,$45.00 ,$2.70 ,rkbefQjkIHeChFkkf38BWsMF,rkbefQjkIHeChFkkf38BWsMF,Sarah,,https://squareup.com/dashboard/sales/transactions/rkbefQjkIHeChFkkf38BWsMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:48:34,Eastern Time (US & Canada),This Sporting Life,Snap Back Hat by This Sporting Life,2,Regular,,,$80.00 ,$0.00 ,$80.00 ,$4.80 ,rkbefQjkIHeChFkkf38BWsMF,rkbefQjkIHeChFkkf38BWsMF,Sarah,,https://squareup.com/dashboard/sales/transactions/rkbefQjkIHeChFkkf38BWsMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:48:34,Eastern Time (US & Canada),Baltimore Print Studios,Whiskey Please by Baltimore Print Studios,1,Regular,,,$35.00 ,$0.00 ,$35.00 ,$2.10 ,rkbefQjkIHeChFkkf38BWsMF,rkbefQjkIHeChFkkf38BWsMF,Sarah,,https://squareup.com/dashboard/sales/transactions/rkbefQjkIHeChFkkf38BWsMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:35:34,Eastern Time (US & Canada),Megan Jones Illustration, Sloths Are Bad At Things zine by Megan Jone Illustration,1,Regular,,,$7.00 ,$0.00 ,$7.00 ,$0.42 ,PpEWSMMNLj0ozXR9DAm0DxMF,PpEWSMMNLj0ozXR9DAm0DxMF,Sarah,"Sloths Are Bad At Things zine x20, $7, 5""x7""",https://squareup.com/dashboard/sales/transactions/PpEWSMMNLj0ozXR9DAm0DxMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:17:41,Eastern Time (US & Canada),Post Typography,Groundhog Day (Bill Murray) Poster by Post Typography,1,Regular,,,$15.00 ,$0.00 ,$15.00 ,$0.90 ,2BHm3m5IdWX7RAu1W0MIdwMF,2BHm3m5IdWX7RAu1W0MIdwMF,Sarah,,https://squareup.com/dashboard/sales/transactions/2BHm3m5IdWX7RAu1W0MIdwMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:16:05,Eastern Time (US & Canada),SewLab,Fanny Pack by SewLab,1,Regular,,,$25.00 ,$0.00 ,$25.00 ,$1.50 ,xojxtlV8euZX5Y7d6oDIzvMF,xojxtlV8euZX5Y7d6oDIzvMF,Sarah,,https://squareup.com/dashboard/sales/transactions/xojxtlV8euZX5Y7d6oDIzvMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:07:02,Eastern Time (US & Canada),Bower Box,Bee Flag by Bower Box,1,Regular,,,$24.00 ,$0.00 ,$24.00 ,$1.44 ,UbJ7PWZe2QMe41RlPeXEfuMF,UbJ7PWZe2QMe41RlPeXEfuMF,Sarah,,https://squareup.com/dashboard/sales/transactions/UbJ7PWZe2QMe41RlPeXEfuMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:00:30,Eastern Time (US & Canada),Write Pads,Left-handed Notebook (Plain) by Write Note Pads,1,Regular,,,$16.00 ,$0.00 ,$16.00 ,$0.96 ,6OSwlt4mEQGLYAyEin5bMxMF,6OSwlt4mEQGLYAyEin5bMxMF,Sarah,"Left-handed Notebook (Plain) (5) $16.00 - 5.5"" x 8.5"" 120 pages of plain paper. ",https://squareup.com/dashboard/sales/transactions/6OSwlt4mEQGLYAyEin5bMxMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
9/27/2015,14:00:30,Eastern Time (US & Canada),Bower Box,press print by Bower Box,1,Regular,,,$20.00 ,$0.00 ,$20.00 ,$1.20 ,6OSwlt4mEQGLYAyEin5bMxMF,6OSwlt4mEQGLYAyEin5bMxMF,Sarah,,https://squareup.com/dashboard/sales/transactions/6OSwlt4mEQGLYAyEin5bMxMF/by-unit/3YREDSGF2MQP9,Payment,Industrial Arts Collective,
